objectid,title,location,format,date,filename,language,subject,descripction,latitude,longitude
1,"Tarbes - Les Hautes Pyrénées
","Tarbes, Francia ",application/pdf,1911,Fotos/1-58.Francia/001.pdf,fr,Edificio; Altos Pirineos; Patrimonio extinto; Hermanos Labouche ,"Oficina postal de la ciudad de Tarbes en los altos Pirineos, foto hecha por los hermanos Labouche , color: Sepia, medidas: 9 x14 cm
",43.2331,0.077547
2,Château de la Malmaison - Chapelle,"Rueil-Malmaison, Francia",application/pdf,1911,Fotos/1-58.Francia/002.pdf,fr,Castillo; Realeza; Iglesia; Napoléon,"Foto de la fachada trasera de la capilla y el castillo Malmaison en donde vivió la emperatriz Josefina que reinó de 1804 a 1810. Color: sepia, medidas: 9x14cm",48.8708,2.166848
3,Le Roi De Rome,"Paris, Francia",application/pdf,1911,Fotos/1-58.Francia/003.pdf,fr,Realeza; HIstoria; Napoleón,"Retrato del primer hijo de Napoleón Bonaparte, Napoleon François Joseph Charles , durante su infancia. Probablemente, dentro del Palacio de Tullerías. Color: sepia, medidas: 9x14cm",48.86222222,2.331111111
4,L'Armee Francaise. Compagnie Cycliste en marche.,Francia,application/pdf,1911,Fotos/1-58.Francia/004.pdf,fr,Ejército; Milicia; Guerra,"Compañía ciclista armada de la Primera Guerra Mundial, escuadrón 132. Color: sepia, medidas: 9x14cm",46.768571,2.482407
5,L'Armee Français- Artilleriè de Forteresse,Francia ,application/pdf,1911,Fotos/1-58.Francia/005.pdf,fr,Ejército; Milicia; Guerra,"Soldados franceses de la Primera Guerra Mundial en trincheras , fortalezas y escaleras.Color: a color, medidas: 9x14cm",46.768571,2.482407
6,Napoleón- Le Retour de l'Ile d'Elbe.,"Grenoble , Francia",application/pdf,1911,Fotos/1-58.Francia/006.pdf,fr,Pintura; Historia; Napoleón,"En la imagen se puede apreciar la pintura de Charles de Steuben llamada Napoleón el retorno de la isla de Elba pintada en 1818. En esta pintura se retrata el momento de retorno de Napoleón a Francia tras su destierro en la isla de Elba. Se observa siendo saludado por el coronel Charles François, conde de La Bédoyère, y el séptimo batallón liderado por el. Este hecho histórico ocurrió en Grenoble el 7 de marzo de 1815. Color: sepia, medidas: 9x14cm",45.18694444,5.726388889
7,Waterloo,Francia ,application/pdf,1911,Fotos/1-58.Francia/007.pdf,fr,"Napoleón, Ejército; Milicia; Guerra; Waterloo; Historia; Pintura","Pintura representativa de la Napoleón en la batalla de Waterloo el 18 de junio de 1815. Color: sepia, medidas: 9x14cm",46.768571,2.482407
8,Translation des restes de Napoléon I ,"Paris, Francia",application/pdf,1911,Fotos/1-58.Francia/008.pdf,fr,"Napoleón, Muerte; París; Realeza","El 15 de diciembre de 1840 por orden del rey Felipe, llegaron los restos de Napoleón de Viena a  Paris, Color: sepia y Blanco y negro, medidas: 9x14cm",48.85341,2.3488
9,Les Adieux de Fontainebleau,"Fontainbleau, Francia ",application/pdf,1911,Fotos/1-58.Francia/009.pdf,fr,Batalla; Tratado; Fontainbleau; Historia; Napoleon; ,"Cuadro del pintor Emile Jean Horace Vernet Las despedidas de Fontainebleau, (20 de abril de 1814), este momento que .Color: sepia, medidas: 9x14cm",48.405,2.7021
10,L’Abdication Napoleon a Fontainbleau,"Paris, Francia ",application/pdf,1911,Fotos/1-58.Francia/010.pdf,fr,Napoleón; Abdicación; Fontainbleau; Historia; Pintura; Tratado de Fontainbleau; 1814; SUPRA Paris,"Cuadro de Napoleón abdicando en Fontainbleau en 1814. En este suceso histórico Napoleón renuncio a su poder y anuncio su exilio a la Isla de Elba. Edición artística ""SUPRA ""Paris. Color: sepia, medidas: 9x14cm",48.85341,2.3488
11,"Lettre de Josephine,divorce",Francia,application/pdf,1911,Fotos/1-58.Francia/011.pdf,fr,Carta; Josephine; Divorcio; Napoleón ,"Carta de Josephine aceptando el divorcio de Napoleón I. Color: sepia, medidas: 9x14cm",46.768571,2.482407
12,Testament de Napoléon 1er,París; Francia,application/pdf,1911,Fotos/1-58.Francia/012.pdf,fr,Testamento de Napoleón; Archivos Nacionales; Armario de Hierro; Paris,"Testamento de Napoleón I conservado en el armario de hierro. Actualmente se encuentra bajo el resguardo de los Archivos Nacionales de París. El armario de hierro era un lugar secreto donde se guardaban asuntos secretos nacionales.  Color: sepia, medidas: 9x14cm",48.85341,2.3488
13,Hôtel Gaisson,"Toulouse, Francia",application/pdf,1911,Fotos/1-58.Francia/013.pdf,fr,Hotel Gassion; Hotel de Lujo; Toulouse,"Foto del Hotel de lujo Gassion en el distrito de Pau., el cual  es un símbolo de la alta sociedad y fue abierto en 1872. Color: sepia, medidas: 9x14cm",43.60426,1.44367
