objectid,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language,descripction,artifacts_location,swap_front_back,rotation_front,rotation_back
7a3f08de-58a0-4ade-b0e2-e4b482ef640b,Fotografía de Palazzo Veccio en Italia,001.pdf,/ARCHIVO/001.pdf,pdf,43.769444,11.256111,,Palacio ,"P.za della Signoria, 50122 Firenze FI, Italia","Un palacio que data del año 1299, ubicado en la Plaza de la Señoría en Florencia, Italia en el que se encuentran oficinas del ayuntamiento.",Colección de postales de Manuel Campero,it,,"['artifacts/Coleccion-MC/001-back.jpg', 'artifacts/Coleccion-MC/001-front.jpg']",False,,90.0
03863806-a533-4248-a3c0-f0bf9ff8d8a2,Fotografía de la Plazza dela Signoria en Italia,002.pdf,/ARCHIVO/002.pdf,pdf,43.769722,11.255556,,Plaza ,"P.za della Signoria50122 Firenze FI, Italia",La plaza central de Florencia en Italia. Es el lugar representativo de una Florencia medieval y se ha convertido en un centro de socialización.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/002-back.jpg', 'artifacts/Coleccion-MC/002-front.jpg']",False,90.0,90.0
d5a8124e-f320-442a-9d2b-b3f816286c99,Fotografía del Ponte Vecchio visto desde el río Arno en Italia,003.pdf,/ARCHIVO/003.pdf,pdf,43.767989,11.253192,,Puente,"Ponte Vecchio, 50125 Firenze FI, Italia",Un puente inicialmente construido por los romanos que cruza el río Arno.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/003-back.jpg', 'artifacts/Coleccion-MC/003-front.jpg']",False,90.0,270.0
1faec90f-f513-4b0d-a584-36f89cc4c0fe,Fotografía de una familia en una  plaza,004.pdf,/ARCHIVO/004.pdf,pdf,,,,Plaza ,,Una familia de 7 integrantes frente a un edificio.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/004-front.jpg', 'artifacts/Coleccion-MC/004-back.jpg']",False,270.0,90.0
70a308e3-6316-4fe6-a09e-d9b379d2c909,"Fotografía del coro del monasterio ""Certosa di Pavia"" en Italia",005.pdf,/ARCHIVO/005.pdf,pdf,45.257,9.148278,,Coro,"27012 Certosa di Pavia, Province of Pavia, Italia","El monasterio ""Cartuja de Pavía, en la localidad de Pavia representa el gótico tardío italiano.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/005-front.jpg', 'artifacts/Coleccion-MC/005-back.jpg']",False,270.0,90.0
c76ebaa9-4563-494b-b1f7-fd84d335a30a,"Fotografía de la ""Chiesa  del Santo"" en Italia ",006.pdf,/ARCHIVO/006.pdf,pdf,45.401362,11.880686,,Iglesia ,"Piazza del Santo, 11, 35123 Padova PD, Italia","La basílica del Santo Antonio de Padúa construida entre 1238 y 1310 es uno de los principales recintos religiosos católicos de Padúa. Además, es parte de un sitio patrimonio de la humanidad.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/006-front.jpg', 'artifacts/Coleccion-MC/006-back.jpg']",True,270.0,90.0
97b7c404-922b-454f-b3cf-ebbc364f1462,Fotografía del interior de la bacílica de San Antonio de Padúa,007.pdf,/ARCHIVO/007.pdf,pdf,45.401363,11.880687,,Iglesia ,"Piazza del Santo, 12, 35123 Padova PD, Italia",El interior de la basílica más visitada de Padova.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/007-front.jpg', 'artifacts/Coleccion-MC/007-back.jpg']",True,90.0,90.0
73463053-ee57-48de-b2f7-76636cd45faf,"Pintura ""Madonna col figlio"" de N. Parisani",008.pdf,/ARCHIVO/008.pdf,pdf,,,,Retrato,Italia,"""Madonna col figlio"" se traduce al español directamente como ""virgen con niño"". La pintura fue realizada por Naopleone Parisani, un pintor italiano conocido. ",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/008-back.jpg', 'artifacts/Coleccion-MC/008-front.jpg']",False,,90.0
99e09e43-303a-4f4a-850a-3a5613b4c636,"Fotografía de ""Napoli"" desde el mar (golfo de Nápoles)",009.pdf,/ARCHIVO/009.pdf,pdf,40.735278,14.275278,,Ciudad de Nápoles,"Nápoles, Italia","Nápoles está ubicado al sur de Italia, y sus orillas conectan con parte del mar mediterráneo. Desde ahí se tomó la fotografía, en la que se observa la ciudad.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/009-front.jpg', 'artifacts/Coleccion-MC/009-back.jpg']",True,270.0,270.0
94516166-cd12-40f7-9604-56e08a085567,"Fotografía de la Chiesa della Salute en Venecia, Italia",010.pdf,/ARCHIVO/010.pdf,pdf,45.43068123579475,12.334817503880297,,Chiesa della Salute,"Dorsoduro, 1, 30123 Venezia VE, Italy",Exterior de la Basílica de Santa María de la Salud,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/010-front.jpg', 'artifacts/Coleccion-MC/010-back.jpg']",False,,90.0
47553b34-fa9e-49cf-a8d7-6663b4ea7ecf,"Fotografía de la Ca´d'Oro en Venecia, Italia",011.pdf,/ARCHIVO/011.pdf,pdf,45.44080737147946,12.333918909000436,,Calle,"Calle Ca' d'Oro, 3934, 30121 Venezia VE, Italy",Vista desde el canal de la Ca' d'Oro,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/011-front.jpg', 'artifacts/Coleccion-MC/011-back.jpg']",False,270.0,270.0
329abc78-addb-462f-b2b6-f030909540fd,"Fotografía de un gondolero en el Ponte de la Ferrovia en Verona, Italia",012.pdf,/ARCHIVO/012.pdf,pdf,45.4764213045256,10.944461957768594,,Oficios,"37139 Parona Province of Verona, Italy",Dos hombres en una góndola cerca del Ponte della Ferrovia,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/012-back.jpg', 'artifacts/Coleccion-MC/012-front.jpg']",True,270.0,270.0
6b61c0ba-e9d0-4a1d-ba57-79c309ddff96,"Fotografía panorámica de la ciudad de Venecia, Italia",013.pdf,/ARCHIVO/013.pdf,pdf,45.448402121971235,12.313639928196766,,Ciudad,"Venecia, Italia",Fotografía panorámica de Venecia.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/013-back.jpg', 'artifacts/Coleccion-MC/013-front.jpg']",False,270.0,270.0
a2a722b8-5ee7-4d2b-970d-3c06e181c10a,Fotografía del Coliseo en Roma,014.pdf,/ARCHIVO/014.pdf,pdf,41.89017021890783,12.492499119489809,,Ciudad,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",Fotografía frontal del Coliseo Romano,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/014-back.jpg', 'artifacts/Coleccion-MC/014-front.jpg']",False,270.0,270.0
6846df23-0c64-4f0a-b73f-e5e4e78a0fad,Fotografía del Foro Romano con el Capitolio en el fondo,015.pdf,/ARCHIVO/015.pdf,pdf,41.89243031018318,12.485432287066718,,Foro ,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",Fotografía del Foro Romano en Roma con el Campidoglio diseñado por Miguel Ángel en el fondo.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/015-back.jpg', 'artifacts/Coleccion-MC/015-front.jpg']",False,270.0,270.0
1b360391-03c1-423f-bbc5-702f1e234f58,Fotografía del Foro Trajano,016.pdf,/ARCHIVO/016.pdf,pdf,41.8949,12.4853,,Foro,"Via dei Fori Imperiali, 00186 Roma RM, Italy",Fotografía del Foro Trajano.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/016-front.jpg', 'artifacts/Coleccion-MC/016-back.jpg']",False,270.0,270.0
b8553625-2e96-4d0c-80c2-8e5f576f7097,"Retrato del papa Julio II, de Raffaello Sanzio",017.pdf,/ARCHIVO/017.pdf,pdf,43.7696,11.2558,1511.0,Papa Giullio II,"Florencia, Italia","Retrato en pintura del papa Giullio II, del artista renacentista Raffaello.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/017-front.jpg', 'artifacts/Coleccion-MC/017-back.jpg']",False,,90.0
7199f279-55a0-471b-97ab-8c0836493e7f,"Retrato en pintura de una mujer joven, de Raffaello Sanzio",018.pdf,/ARCHIVO/018.pdf,pdf,43.7696,11.2558,1519.0,Retrato en pintura,"Florencia, Italia","Retrato de una mujer joven de Raffaello Sanzio, hoy expuesto en el Palazzo Barberini.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/018-back.jpg', 'artifacts/Coleccion-MC/018-front.jpg']",True,270.0,90.0
8632ff1a-f5b7-4b5e-85dc-42625761d55e,Fotografía frontal de la plaza e iglesia de Santa María Novella.,019.pdf,/ARCHIVO/019.pdf,pdf,43.7732,11.2493,,Iglesia,"50123 Florence, Metropolitan City of Florence, Italy","Fotografía frontal de la plaza e iglesia de Santa María Novella en Florencia, Italia.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/019-back.jpg', 'artifacts/Coleccion-MC/019-front.jpg']",True,270.0,270.0
c61078b5-2df6-465a-a42e-6fd10e830f8a,Fotografía de una balaustrada dentro de la iglesia Certosa di Pavia.,020.pdf,/ARCHIVO/020.pdf,pdf,45.2532,9.1283,,Balaustrada,"27012 Certosa di Pavia, Province of Pavia, Italy","Fotografía frontal de una balasutrada en la Certosa di Pavia en la provincia de Pavia, Italia.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/020-back.jpg', 'artifacts/Coleccion-MC/020-front.jpg']",False,270.0,90.0
41ddd477-7cf4-40ab-910f-73d29191065b,Retrato de Angiolo Doni,021.pdf,/ARCHIVO/021.pdf,pdf,,,,Angiolo Doni,"R. Pitti Galería, Florencia, Italia",Un retrato de un italiano,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/021-back.jpg', 'artifacts/Coleccion-MC/021-front.jpg']",True,90.0,90.0
